State Code,State Name,Range of first 3 digits of Pincode
1,JAMMU AND KASHMIR,180 - 194
2,HIMACHAL PRADESH,171 - 177
3,PUNJAB,140 - 160
4,CHANDIGARH,160 - 160
5,UTTARAKHAND,244 - 263
6,HARYANA,121 - 136
7,DELHI,110 - 110
8,RAJASTHAN,301 - 345
9,UTTAR PRADESH,201 - 285
10,BIHAR,800 - 855
11,SIKKIM,737 - 737
12,ARUNACHAL PRADESH,790 - 792
13,NAGALAND,797 - 798
14,MANIPUR,795 - 795
15,MIZORAM,796 - 796
16,TRIPURA,799 - 799
17,MEGHALAYA,793 - 794
18,ASSAM,781 - 788
19,WEST BENGAL,700 - 743
20,JHARKHAND,813 - 835
21,ODISHA,751 - 770
22,CHHATTISGARH,490 - 497
23,MADHYA PRADESH,450 - 488
24,GUJARAT,360 - 396
25,DAMAN AND DIU,362 - 362
25,DAMAN AND DIU,396 - 396
26,DADRA AND NAGAR HAVELI,396 - 396
27,MAHARASHTRA,400 - 445
29,KARNATAKA,560 - 591
30,GOA,403 - 403
31,LAKSHADWEEP,682 - 682
32,KERALA,670 - 695
33,TAMIL NADU,600 - 643
34,PUDUCHERRY,533 - 533
34,PUDUCHERRY,605 - 605
34,PUDUCHERRY,607 - 607
34,PUDUCHERRY,609 - 609
35,ANDAMAN AND NICOBAR,744 - 744
36,TELANGANA,500 - 509
37,ANDHRA PRADESH,500 - 535
